
,Sessao 1,Sessao 2,Sessao 3,Sessao 4,Sessao 5,Sessao 6,Sessao 7,Sessao 8,Sessao 9,Sessao 10,Sessao 11,Sessao 12,Sessao 13,Sessao 14,Sessao 15,Sessao 16,Sessao 17,Sessao 18,Sessao 19,Sessao 20,Sessao 21,Sessao 22
Apresentacao 1, -,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- 
Apresentacao 2, -,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- 
Apresentacao 3, -,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,- 
Apresentacao 4, X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- 
Apresentacao 5, -,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- 
Apresentacao 6, X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- 
Apresentacao 7, -,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,- 
Apresentacao 8, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,- 
Apresentacao 9, -,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- 
Apresentacao 10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,- 
Apresentacao 11,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,- 
Apresentacao 12,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,- 
Apresentacao 13,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- 
Apresentacao 14,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- 
Apresentacao 15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,- 
Apresentacao 16,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,- 
Apresentacao 17,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- 
Apresentacao 18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,- 
Apresentacao 19,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,- 
Apresentacao 20,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,- 
Apresentacao 21,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,- 
Apresentacao 22,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,- 
Apresentacao 23,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,- 
Apresentacao 24,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,- 
Apresentacao 25,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,- 
Apresentacao 26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,- 
Apresentacao 27,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- 
Apresentacao 28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,- 
Apresentacao 29,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,- 
Apresentacao 30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,- 
Apresentacao 31,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- 
Apresentacao 32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,- 
Apresentacao 33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,- 
Apresentacao 34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,- 
Apresentacao 35,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- 
Apresentacao 36,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- 
Apresentacao 37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X 
Apresentacao 38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X 
Apresentacao 39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X 
